"Rank","Player","G","REC","YDS","YBC","AIR","YAC","YACON","BRKTKL","TGT","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS"
"29","Xavier Worthy (KC)","3","2","27","5","36","22","1","0","4","2","0","0","1","0","0","0","0"
"30","Mike Evans (TB)","3","3","40","30","46","10","3","0","5","4","0","1","2","0","0","0","0"
"31","Deebo Samuel Sr. (SF)","2","7","82","55","86","27","12","1","10","7","0","1","4","2","0","0","0"
"32","Jakobi Meyers (LV)","3","5","51","38","55","12","3","1","6","5","0","1","2","0","0","0","0"
"33","Amari Cooper (CLE)","3","4","38","32","124","6","1","0","10","6","2","1","1","1","0","0","0"
"34","Darnell Mooney (ATL)","3","4","56","30","59","26","13","1","6","4","0","0","2","1","0","0","0"
"35","Zay Flowers (BAL)","3","5","49","27","47","22","7","0","8","5","0","1","2","0","0","0","0"
"36","Rome Odunze (CHI)","3","3","52","39","110","13","6","1","7","3","0","1","2","1","0","0","0"
"37","Cooper Kupp (LAR)","2","9","74","41","98","33","13","1","14","10","1","2","3","2","0","0","0"
"38","Diontae Johnson (CAR)","3","4","52","31","75","21","5","0","9","5","0","2","2","1","0","0","0"
"39","Garrett Wilson (NYJ)","3","5","50","30","78","20","11","1","9","6","1","2","1","0","0","0","0"
"40","Jerry Jeudy (CLE)","3","4","42","37","85","5","1","0","7","4","0","1","1","1","0","0","0"
"41","Terry McLaurin (WAS)","3","4","46","34","86","12","4","0","6","4","0","0","2","1","0","0","0"
"42","Wan'Dale Robinson (NYG)","3","5","41","20","35","21","10","1","8","5","0","2","2","0","0","0","0"
"43","Jalen Tolbert (DAL)","3","3","45","42","77","3","1","0","5","3","0","1","2","0","0","0","0"
"44","Tre Tucker (LV)","3","4","44","20","41","24","7","0","5","4","0","0","1","0","0","0","0"
"45","Jaylen Waddle (MIA)","3","4","59","36","37","23","2","0","5","4","0","1","2","1","0","0","0"
"46","Rashod Bateman (BAL)","3","3","40","35","62","5","2","0","4","3","0","1","2","0","0","0","0"
"47","A.J. Brown (PHI)","1","5","119","54","108","65","7","0","10","5","0","1","4","2","1","1","1"
"48","KaVontae Turpin (DAL)","3","2","18","13","23","5","2","0","3","2","0","0","1","0","0","0","0"
"49","DJ Moore (CHI)","3","6","56","29","82","27","9","1","9","6","0","1","3","0","0","0","0"
"50","Jaxon Smith-Njigba (SEA)","3","6","58","31","64","27","7","0","7","6","0","0","2","0","0","0","0"
"51","Josh Reynolds (DEN)","3","4","58","46","61","12","6","0","5","4","0","0","2","1","1","0","0"
"52","Adam Thielen (CAR)","3","3","36","28","42","8","1","0","4","3","0","0","2","1","1","0","0"
"53","Ladd McConkey (LAC)","3","3","36","25","50","12","5","1","6","4","0","1","2","0","0","0","0"
"54","Calvin Austin III (PIT)","3","2","36","16","30","20","4","0","3","2","0","0","1","1","0","0","0"
"55","George Pickens (PIT)","3","4","57","51","72","6","0","0","6","5","0","0","2","1","1","0","0"
"56","Michael Wilson (ARI)","3","4","33","28","42","6","3","0","4","4","0","0","1","1","0","0","0"
"57","DeAndre Hopkins (TEN)","3","3","30","28","32","2","2","1","3","3","0","1","1","0","0","0","0"
"58","Tutu Atwell (LAR)","3","2","47","40","45","7","1","0","3","3","0","0","2","1","0","0","0"
"59","Christian Watson (GB)","3","2","27","19","33","8","1","0","2","2","0","1","1","1","1","0","0"
"60","Tyler Lockett (SEA)","3","4","46","37","49","9","1","0","6","4","0","0","2","0","0","0","0"
"61","Brandin Cooks (DAL)","3","3","25","23","68","2","0","0","5","3","0","0","1","0","0","0","0"
"62","Keon Coleman (BUF)","3","2","25","20","29","5","0","0","2","2","0","0","1","1","0","0","0"
"63","Tank Dell (HOU)","3","3","33","22","65","11","4","0","6","3","0","1","2","0","0","0","0"
