"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Bo Melton","GB","0.3","3.8","0.0","0.1","0.5","0.0","0.0","0.6"
"Devin Duvernay","JAC","0.3","3.1","0.0","0.3","1.4","0.0","0.0","0.6"
"Nick Westbrook-Ikhine","TEN","0.3","4.1","0.0","0.0","0.1","0.0","0.0","0.6"
"Xavier Gipson","NYJ","0.3","3.6","0.0","0.0","0.4","0.0","0.0","0.6"
"Robert Woods","HOU","0.3","3.5","0.0","0.0","0.1","0.0","0.0","0.5"
"Zach Pascal","ARI","0.2","2.8","0.0","0.1","0.6","0.0","0.0","0.5"
"Skyy Moore","KC","0.3","3.1","0.0","0.0","0.1","0.0","0.0","0.4"
"Malik Heath","GB","0.2","2.3","0.0","0.0","0.1","0.0","0.0","0.4"
"Scotty Miller","PIT","0.2","2.5","0.0","0.0","0.1","0.0","0.0","0.3"
"Tylan Wallace","BAL","0.2","2.5","0.0","0.0","0.1","0.0","0.0","0.3"
"Trishton Jackson","MIN","0.2","2.3","0.0","0.0","0.0","0.0","0.0","0.3"
"Charlie Jones","CIN","0.2","2.0","0.0","0.0","0.0","0.0","0.0","0.3"
"Casey Washington","ATL","0.1","1.8","0.0","0.0","0.0","0.0","0.0","0.3"
"Mecole Hardman Jr.","KC","0.1","1.5","0.0","0.0","0.2","0.0","0.0","0.2"
"Deonte Harty","BAL","0.1","1.2","0.0","0.0","0.1","0.0","0.0","0.2"
"Chris Moore","ARI","0.1","1.3","0.0","0.0","0.1","0.0","0.0","0.2"
"Javon Baker","NE","0.1","1.5","0.0","0.0","0.1","0.0","0.0","0.2"
"Dareke Young","SEA","0.1","1.2","0.0","0.0","0.0","0.0","0.0","0.2"
"Anthony Gould","IND","0.1","1.0","0.0","0.0","0.0","0.0","0.0","0.2"
"Tim Jones","JAC","0.1","0.8","0.0","0.0","0.0","0.0","0.0","0.1"
"Ihmir Smith-Marsette","NYG","0.1","0.9","0.0","0.0","0.0","0.0","0.0","0.1"
"KhaDarel Hodge","ATL","0.1","0.7","0.0","0.0","0.0","0.0","0.0","0.1"
"Jha'Quan Jackson","TEN","0.1","0.9","0.0","0.0","0.0","0.0","0.0","0.1"
"Zay Jones","ARI","0.1","0.6","0.0","0.0","0.0","0.0","0.0","0.1"
"Kyle Philips","PHI","0.0","0.6","0.0","0.0","0.0","0.0","0.0","0.1"
"Jason Brownlee","NYJ","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Kadarius Toney","CLE","0.1","0.4","0.0","0.0","0.0","0.0","0.0","0.1"
"Kayshon Boutte","NE","0.0","0.6","0.0","0.0","0.0","0.0","0.0","0.1"
"A.J. Brown","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Deebo Samuel Sr.","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Keenan Allen","CHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jordan Addison","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Joshua Palmer","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
