"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"177","David Bell (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"178","Troy Franklin (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"179","Javon Baker (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"180","Ben Skowronek (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"181","Trishton Jackson (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"182","James Proche II (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"183","Jalen Guyton (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"184","Parris Campbell (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"185","Collin Johnson (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"186","Tim Patrick (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
"187","Malik Heath (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","%","0","0","0","0","0","0","0","0","0"
""
""
