"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"94","Amari Cooper (CLE)","1","3","11","3.7","8","2.7","73","24.3","3","1.0","2","0.7","0","8","24.2%","6","3","0","0","0","0","0","0","7"
"95","Jalen Brooks (DAL)","1","1","10","10.0","10","10.0","72","72.0","0","0.0","0","0.0","0","3","7.3%","1","0","0","1","0","0","0","0","10"
"96","Marvin Mims Jr. (DEN)","1","1","10","10.0","2","2.0","71","71.0","8","8.0","1","1.0","0","2","6.1%","1","0","0","0","0","0","0","0","8"
"97","DeAndre Hopkins (TEN)","1","1","9","9.0","9","9.0","17","17.0","0","0.0","0","0.0","1","2","7.4%","1","0","1","0","0","0","0","0","9"
"98","Bo Melton (GB)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"99","K.J. Osborn (NE)","1","1","7","7.0","6","6.0","12","12.0","1","1.0","0","0.0","0","2","8.3%","2","1","0","0","0","0","0","0","7"
"100","Jahan Dotson (PHI)","1","1","6","6.0","-5","-5.0","-5","-5.0","11","11.0","6","6.0","0","1","3.4%","1","0","0","0","0","0","0","0","6"
"101","Laviska Shenault Jr. (SEA)","1","1","6","6.0","-5","-5.0","-5","-5.0","11","11.0","3","3.0","0","1","2.3%","1","0","0","0","0","0","0","0","6"
"102","KaVontae Turpin (DAL)","1","2","4","2.0","-7","-3.5","10","5.0","11","5.5","5","2.5","1","4","9.8%","2","0","0","0","0","0","0","0","5"
"103","Calvin Austin III (PIT)","1","1","6","6.0","6","6.0","23","23.0","0","0.0","0","0.0","0","2","11.1%","1","0","0","0","0","0","0","0","6"
"104","Trenton Irwin (CIN)","1","1","5","5.0","5","5.0","23","23.0","0","0.0","0","0.0","0","6","17.6%","1","0","5","0","0","0","0","0","5"
"105","Robbie Chosen (FA)","1","1","5","5.0","4","4.0","47","47.0","1","1.0","0","0.0","0","4","10.8%","1","0","2","0","0","0","0","0","5"
"106","Malachi Corley (NYJ)","1","1","4","4.0","-1","-1.0","-1","-1.0","5","5.0","2","2.0","0","1","3.4%","1","0","0","0","0","0","0","0","4"
"107","Devin Duvernay (JAC)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"108","Chris Conley (SF)","1","1","4","4.0","4","4.0","4","4.0","0","0.0","0","0.0","0","1","2.8%","1","0","0","0","0","0","0","0","4"
"109","Curtis Samuel (BUF)","1","1","3","3.0","-3","-3.0","22","22.0","6","6.0","2","2.0","0","2","11.1%","1","0","0","0","0","0","0","0","3"
"110","DJ Turner (LV)","1","0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0%","0","0","0","0","0","0","0","0","0"
"111","Cedric Tillman (CLE)","1","1","2","2.0","-5","-5.0","-12","-12.0","7","7.0","0","0.0","0","2","6.1%","1","0","0","0","0","0","0","0","2"
"112","Jonathan Mingo (CAR)","1","1","1","1.0","0","0.0","7","7.0","1","1.0","1","1.0","0","2","7.7%","1","0","0","0","0","0","0","0","1"
"113","Mack Hollins (BUF)","1","0","0","0.0","0","0.0","-6","0.0","0","0.0","0","0.0","0","1","5.6%","0","0","0","0","0","0","0","0","0"
"114","Braxton Berrios (MIA)","1","0","0","0.0","0","0.0","8","0.0","0","0.0","0","0.0","0","1","2.7%","0","0","1","0","0","0","0","0","0"
